zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 15:40;https://twitter.com/lmkrant/status/1389937955586945024;;post;;4325;lmkrant;4325;1.3;;;[Ahold Delhaize] lanceert leerplatform On Track ZAANDAM – Nieuwe leerplatform On Track wordt uitgebracht door Ah... https://t.co/l4QYkua7aL;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 12:42;https://twitter.com/rubenjo/status/1389893149577908225;;post;;127;rubenjo;127;1.7;;;Gast als je de blokker en de hema nu vergelijkt dat je samen achter een safetycar rijdt dan heb je volgens mij nog niet de realiteit scherp. Als je dan achter een safetycar rijdt dan rijdt [#Ahold] wel een ronde voor op de rest En dat is nou juist het issue  https://t.co/QQn4PtDTu6;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:55;https://twitter.com/Matthijs85/status/1389881544806895618;;post;8;28772;Matthijs85;28772;139;;;"[Ahold] boekte vorig jaar een omzet van bijna 75 miljard, over de rug van kleine ondernemers die gebukt gingen onder coronamaatregelen.. https://t.co/vBzns4YWpo  ""Omdat we wat terug wilden doen voor deze megawinst hebben we een app ontwikkeld"" 🤨 [#Ahold] #ontrack  Seriously? 🤦‍♂️";twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:38;https://twitter.com/ED_Economie/status/1389877163780804614;;post;;1188;ED_Economie;1188;0.6;;;[Ahold Delhaize] lanceert app als ‘goedmakertje’ voor megawinst in crisistijd https://t.co/sdyZILMf9s;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:34;https://twitter.com/De_Stentor/status/1389876243512897538;;post;;21367;De_Stentor;21367;5.6;;;[Ahold Delhaize] lanceert app als ‘goedmakertje’ voor megawinst in crisistijd https://t.co/2Qf8p5l4CK;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:33;https://twitter.com/ADnl/status/1389875970157555713;;post;8;399389;ADnl;399389;311.1;;;Met Albert Heijn, https://t.co/3MXt1IOM0B, Gall&Gall en Etos beleeft moederbedrijf [Ahold Delhaize] sinds de corona-uitbraak gouden tijden. Topman Wouter Kolk wil met de educatieve app On Track iets terugdoen voor de maatschappij (Premium) https://t.co/AZFXoYUae3;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:33;https://twitter.com/AD_Economie/status/1389875945524408321;;post;;659;AD_Economie;659;1.5;;;[Ahold Delhaize] lanceert app als ‘goedmakertje’ voor megawinst in crisistijd https://t.co/kvegCwGKf8;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:33;https://twitter.com/DeGelderlander/status/1389875898539778051;;post;;72408;DeGelderlander;72408;44.1;;;[Ahold Delhaize] lanceert app als ‘goedmakertje’ voor megawinst in crisistijd  https://t.co/8eDgG97cKq;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:13;https://twitter.com/DeGelderlander/status/1389870814896480257;;post;;72408;DeGelderlander;72408;44.1;;;[Ahold Delhaize] lanceert educatieve app als ‘goedmakertje’ voor de maatschappij  https://t.co/TxavjiDTsg;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:10;https://twitter.com/ED_Economie/status/1389869997971943428;;post;;1188;ED_Economie;1188;0.6;;;[Ahold Delhaize] lanceert educatieve app als ‘goedmakertje’ voor de maatschappij https://t.co/6LQ2ZCKQEv;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:07;https://twitter.com/AD_Economie/status/1389869348731465730;;post;;659;AD_Economie;659;1.5;;;[Ahold Delhaize] lanceert educatieve app als ‘goedmakertje’ voor de maatschappij https://t.co/lMAKWFEZ8K;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 11:05;https://twitter.com/De_Stentor/status/1389868965250404353;;post;;21367;De_Stentor;21367;5.6;;;[Ahold Delhaize] lanceert educatieve app als ‘goedmakertje’ voor de maatschappij https://t.co/vot1NiekjD;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-05 07:19;https://twitter.com/HulpverleningNL/status/1389811862083018759;;post;;171;HulpverleningNL;171;0.6;;;Hulpverlening: Middelbrand ([Ahold] Coffee Company) Hoofdtocht - Zaandam 04-05-2021 https://t.co/bl5hBU5CME;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 19:58;https://twitter.com/USMarkets/status/1389640560554782728;;post;;14449;USMarkets;14449;0.8;;;#AEX #beleggen #beurs  TA Goud, [Ahold], AEX en meer https://t.co/vWFPUHqYT9;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 15:10;https://twitter.com/DaveVerzijl/status/1389568116393496577;+;post;;778;DaveVerzijl;778;2.4;;;"""Binnen 2 uur al uw medewerkers getest"" zegt Medicorps in NPO2 radio reclame. Ben benieuwd wat ze doen als een bedrijf als, ik zeg maar wat, [Ahold] of Rabobank klant zou worden... binnen 2 uur 30.000+ mensen testen 🤣";twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 14:32;https://twitter.com/HV112NL/status/1389558451408277504;;post;;4390;HV112NL;4390;3.6;;;HV112: Middelbrand ([Ahold] Coffee Company) Hoofdtocht - Zaandam 04-05-2021 https://t.co/gMJyVQlLqy;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 14:31;https://twitter.com/HVincidentNL/status/1389558317400301575;;post;;4359;HVincidentNL;4359;1;;;Incident update: Middelbrand ([Ahold] Coffee Company) Hoofdtocht - Zaandam 04-05-2021 https://t.co/hLd3KaYKH4;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 14:10;https://twitter.com/HV112NL/status/1389552911374446593;;post;;4390;HV112NL;4390;3.6;;;HV112: Middelbrand ([Ahold] Coffee Company) Hoofdtocht - Zaandam 04-05-2021 https://t.co/QAWxptMQcB;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 14:07;https://twitter.com/HVincidentNL/status/1389552274339360769;;post;;4359;HVincidentNL;4359;1;;;Incident: Middelbrand ([Ahold] Coffee Company) Hoofdtocht - Zaandam 04-05-2021 https://t.co/HMqMF52iiZ;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 13:55;https://twitter.com/aldewereld/status/1389549267237445633;;post;;604;aldewereld;604;0.7;;;Companies who are voluntarily being transparent about their supply chain better engage with customers and differentiate from competitors. Read our client case on product transparency at [Ahold Delhaize] USA. https://t.co/or5ZWPev4M  #kpmg #supplychain;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 13:25;https://twitter.com/beleggersclub/status/1389541778068541441;;post;;967;beleggersclub;967;0.8;;;TIP! ASML, [Ahold] & Heineken, lees hier welke aandelen nog meer: https://t.co/ItSJbN69bx  #bullup #tipvandedag #rendement #beurs #beleggen #tip #beurstip #beleggingstip  #Aandelentips [#Ahold] #ASML #Heineken @AholdDelhaize  @ASMLcompany  @Heineken_NL   @ZitaChengadu @beursanalist https://t.co/wPXtreirRq;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 11:50;https://twitter.com/KPMG_NL/status/1389517660594003969;;post;;6222;KPMG_NL;6222;1.9;;;Companies who are voluntarily being transparent about their supply chain better engage with customers and differentiate from competitors. Read our client case on product transparency at [Ahold Delhaize] USA. #kpmg #supplychain https://t.co/Y0XRzDqsgU https://t.co/VWcjMtBMYL;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 10:38;https://twitter.com/arnonyy/status/1389499646091874304;;post;;27906;arnonyy;27906;51.6;;;In het kapitalisme is het winststreven het perpetuum mobile. [Ahold] streeft ook naar winst en groei, toch vormen de mensen die denken dat we worden vergiftigd als we bij Albert Heijn winkelen een kleine minderheid.  https://t.co/bB0VS4KoRy;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 03:31;https://twitter.com/Hulpdiensten09/status/1389392220286029827;;post;;393;Hulpdiensten09;393;0.6;;;P 2 BNH-01 (Middel BR) BR industrie [Ahold] Coffee Company Hoofdtocht Zaandam 110881 https://t.co/ZLi7gqOyvw;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 03:31;https://twitter.com/112alarm_Opsch/status/1389392177294360576;;post;;6720;112alarm_Opsch;6720;0.6;52.429867;4.811072;🔴 #ZAANDAM Opschaling 🚒 #p2000  P 2 BNH-01 (Middel BR) BR industrie [Ahold] Coffee Company Hoofdtocht Zaandam 110881  https://t.co/NLvdmr9pLq;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 03:31;https://twitter.com/Tom_zulu10/status/1389392166129131525;;post;;6923;Tom_zulu10;6923;1.1;;;03:31:36u |#Opschaling P 2 BNH-01 (Middel BR) BR industrie [Ahold] Coffee Company Hoofdtocht Zaandam 110881 | OPS: brandweer Noord Holland extra inzet | ^TZ;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 03:31;https://twitter.com/112alarm_Opsch/status/1389392163268702210;;post;;6720;112alarm_Opsch;6720;0.6;52.429867;4.811072;🔴 #ZAANDAM Opschaling 🚒 #p2000  P 2 BNH-01 (Middel BR) BR industrie [Ahold] Coffee Company Hoofdtocht Zaandam 110881  https://t.co/2X25AeIcbQ;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 03:31;https://twitter.com/p2000zaandam/status/1389392161511182336;;post;;902;p2000zaandam;902;0.5;;;P 2 BNH-01 (Middel BR) BR industrie [Ahold] Coffee Company Hoofdtocht Zaandam 110881 https://t.co/Owk7zg4DjJ #p2000;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 02:44;https://twitter.com/112alarm_Opsch/status/1389380364674740231;;post;;6720;112alarm_Opsch;6720;0.6;52.429867;4.811072;🔴 #ZAANDAM Opschaling 🚒 #p2000  P 1 BNH-01 (Middel BR) BR industrie [Ahold] Coffee Company Hoofdtocht Zaandam 110203  https://t.co/bDtX5LhWT3;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 02:44;https://twitter.com/Hulpdiensten09/status/1389380344885940226;;post;;393;Hulpdiensten09;393;0.6;;;P 1 BNH-01 (Middel BR) BR industrie [Ahold] Coffee Company Hoofdtocht Zaandam 110203 https://t.co/IBD2u6NDmO;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 02:44;https://twitter.com/112alarm_Opsch/status/1389380344827322368;;post;;6720;112alarm_Opsch;6720;0.6;52.429867;4.811072;🔴 #ZAANDAM Opschaling 🚒 #p2000  P 1 BNH-01 (Middel BR) BR industrie [Ahold] Coffee Company Hoofdtocht Zaandam 110203  https://t.co/IYEzXov9M2;twitter;
"""Koninklijke Ahold"" OR ""Ahold"" O...";2021-05-04 02:44;https://twitter.com/groteincidenten/status/1389380317325242368;;post;3;32132;groteincidenten;32132;1.4;;;P 1 BNH-01 (Middel BR) BR industrie [Ahold] Coffee Company Hoofdtocht Zaandam 110203;twitter;
