zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-20 14:41;https://twitter.com/OAnieuws/status/1395359014662426625;;post;;1484;OAnieuws;1484;1.4;;;[Vattenfall] vraagt vergunning aan voor combinatie zonnepark en akkerbouw. https://t.co/t6gTFwPkCK;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-20 11:26;https://twitter.com/Dieks/status/1395310011132399617;;post;;156;Dieks;156;2.4;;;Ik ben oprecht verbaasd over de opbrengst van de zonnepanelen. Gisteren veel regen, maar ook zon. De wasmachine en de droger hebben beide 2x een was gedraaid en toch nog wat kWh terug naar [Vattenfall] kunnen sturen.;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-19 17:35;https://twitter.com/careerinenergy/status/1395040307801116674;;post;;38;careerinenergy;38;0.7;;;#Vacature #Contract #Manager #Techniek [Vattenfall] | Ben jij de persoon die ervoor gaat zorgen dat de grote raamcontracten van onze Business Unit Heat NL worden vernieuwd ... https://t.co/jhQR2tbGoY | #careerinenergy #energyjobs #duurzaamheidsbanen #energietransitie #sustainable;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-19 13:56;https://twitter.com/noel_slangen/status/1394985234773446665;;post;;95;noel_slangen;95;0.8;;;ENGIE legt de laatste hand aan een hulpwarmtecentrale en warmtebuffer voor [Vattenfall]. Mede dankzij het project Amsterdam South Connection realiseert de gemeente Amsterdam in 2025 een CO2-uitstoot verlaging van 40%. Bekijk ook eens #DITISENGIE VLOG #13 https://t.co/gyCJg4Blg2;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-19 13:10;https://twitter.com/Dieks/status/1394973803072065538;;post;;155;Dieks;155;2.5;;;Voor het eerst hebben we een enkele ipv een dubbele energie meter. Ik heb de wasmachine en de droger aan en het voelt nog als ongehoorzaam zijn [#Vattenfall];twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-18 21:46;https://twitter.com/vacaturebank/status/1394741093367836673;;post;;948;vacaturebank;948;0.7;;;Commercieel medewerker: NB-Noord-Brabant, [Vattenfall] Sales Force is een snel groeiende organisatie en daarom zijn wij regelmatig op zoek naar talentvolle accountmanagers die ons team komen versterken. Is het jouw missie om bestaande records te verbreken… https://t.co/VVDe4JnoMy;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-18 14:45;https://twitter.com/Cees_Koole/status/1394635377701490692;;post;2;102;Cees_Koole;102;1.4;;;Hallo gemeente @Almere, afgelopen weken was er bij het zoneiland [Vattenfall] werkzaamheden gaande met groot geschut. Dit is nu afgerond. Het fietspad noorderledepad/dek had al flinke schade maar nu word het onbegaanbaar. Willen jullie dit even nakijken, dank...;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-18 09:05;https://twitter.com/BunniksNieuws/status/1394549579744387078;;post;;485;BunniksNieuws;485;1.1;;;Tibbe Lukkassen showt zonneauto Nuna Phoenix op zijn oude basischool De Vonk: [[ODIJK]] De kinderen van De Vonk kregen maandag bezoek van het [Vattenfall] Solar Team. Tibbe Lukkassen, die vroeger zelf op de school zat, gaf leerlingen uitleg over het bouwen… https://t.co/fmrIvRwyeg;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-17 20:41;https://twitter.com/JPNeven/status/1394362432265596932;+;post;7;581;JPNeven;581;1.7;;;Interessante webinar van eCoBuren, het bedrijf K3 en [Vattenfall] over het project Molenkampen voor de inwoners uit Beusichem en omgeving. Het plan is een drijvend zonnepark van 8 ha op deze plas. @gemeenteburen https://t.co/CebFzRs2Od;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-17 13:58;https://twitter.com/FrankFrankvan/status/1394260960588795904;;post;;288;FrankFrankvan;288;0.7;;;ENGIE legt de laatste hand aan een hulpwarmtecentrale en warmtebuffer voor [Vattenfall]. Mede dankzij het project Amsterdam South Connection realiseert de gemeente Amsterdam in 2025 een CO2-uitstoot verlaging van 40%.  https://t.co/m4eeSViGrm;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-17 07:54;https://twitter.com/Thijstamis/status/1394169370138619905;;post;;51;Thijstamis;51;1.2;;;ENGIE legt de laatste hand aan een hulpwarmtecentrale en warmtebuffer voor [Vattenfall]. Mede dankzij het project Amsterdam South Connection realiseert de gemeente Amsterdam in 2025 een CO2-uitstoot verlaging van 40%.  https://t.co/GFuTPjukY0;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-15 10:45;https://twitter.com/IamExpatJobs/status/1393487574895931393;;post;;1913;IamExpatJobs;1913;0.6;;;Strategy Advisor BA Heat in Amsterdam https://t.co/udkNNPkp0b #expat #jobs by [Vattenfall];twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-15 00:14;https://twitter.com/Energeia_Nieuws/status/1393328941541306369;;post;;5381;Energeia_Nieuws;5381;1.1;;;[Vattenfall] wil Magnumcentrale verkopen https://t.co/qM2ylTb4au https://t.co/DV4h8vXRXO;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-14 20:32;https://twitter.com/hoegenaamd/status/1393272909314019333;;post;;3821;hoegenaamd;3821;2;;;[Vattenfall] - Dit Zweedse energiebedrijf werd in 1909 opgericht voor de exploitatie van een waterkrachtcentrale. De naam was eerst Kungliga Vattenfallsstyrelsen (Koninklijke Watervalraad). '[Vattenfall]' is Zweeds voor 'waterval'.;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-14 14:14;https://twitter.com/Inkoop_carriere/status/1393177789134561280;;post;;171;Inkoop_carriere;171;0.5;;;[Vattenfall] zoekt een Contract Manager Techniek in Amsterdam https://t.co/L77qnDXtuh;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-12 09:50;https://twitter.com/02025Amsterdam/status/1392386664459341824;;post;4;1568;02025Amsterdam;1568;1.6;;;In de 02025 nieuwsbrief van deze week aandacht voor het energieontbijt van 20 mei met onder andere [Vattenfall] over warmte en natuurlijk de eerste heuse 02025 podcast koplopers Schone Energie staat online! => doe mee via https://t.co/iKdbC3O4fm https://t.co/rL8P3sAKbP;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-11 19:25;https://twitter.com/geduldhebben/status/1392168978894700545;;post;;125;geduldhebben;125;3.6;;;Wat krijg ik voor Ied feest als cadeau?   Van [Vattenfall]!   Wie een muur geboord wil hebben, hierbij dan de juiste persoon! lool  Oke genoeg gezegd! Waar blijft mijn cadeau? Lool  Vergeet elkaar geen cadeaus te geven met Ied of zonder! Het brengt enkel liefde voor elkaar! https://t.co/npObtz7Jt2;twitter;
"""Vattenfall"" OR ""NUON"" (src:twit...";2021-05-11 18:34;https://twitter.com/evanamer/status/1392156048216240131;-;post;;84;evanamer;84;1.1;;;Naar 10 miljoen inwoners wordt niet geluisterd, maar als Greta er zich mee gaat bemoeien... #lachwekkend [#Vattenfall] #Biomassacentrale;twitter;
