zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""Accsys Technologies"" OR ""AXS"" O...";2021-05-05 00:13;https://twitter.com/cryptcurnews/status/1389704660848562179;;post;;10098;cryptcurnews;10098;0.9;;;Axie Infinity ([AXS]) rallies 80% following migration to Ronin sidechain https://t.co/I0D3c2M7k2 https://t.co/HtVC6KSbvu;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-05-05 00:10;https://twitter.com/Juchtervbergen/status/1389704034626412546;;post;;1754;Juchtervbergen;1754;0.6;;;#SLPrallied1 Axie Infinity ([AXS]) rallies 80% following migration to Ronin sidechain https://t.co/DJRHwNu2Jm https://t.co/QYSp95zPKY;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-05-05 00:10;https://twitter.com/CryptoJournaal/status/1389703939247939586;;post;;14613;CryptoJournaal;14613;2.1;;;Axie Infinity ([AXS]) rallies 80% following migration to Ronin sidechain https://t.co/KaJOLywDPu;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-05-04 21:02;https://twitter.com/CryptoC94914588/status/1389656741869236229;+;post;;6064;CryptoC94914588;6064;0.9;;;$SXP 👀  ✨✨✨✨✨✨✨✨✨✨✨  $LINK $XRP $FTM $TEL $CHZ $RSR $BTC $ZIL $[AXS] $SXP $BNB $CEL $REN $PROM $TRIAS $UBX $VET $HOT $WIN $TEL #BNB    $BAKE $CAKE $SLP $COTI $ICX $ETH #crypto #altcoins $OMG $LINK https://t.co/4FrvHvmtNy;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-05-03 19:17;https://twitter.com/Blocboybenji/status/1389268009877901317;;post;2;1211;Blocboybenji;1211;3.9;;;Just like predicted... $CHONK at 279$.   Just saying $CHONK at 2700$ is 100 Million Marketcap.  Don‘t sleep on this. Chonk will hit anime/manga market and will help underpayed anime artists in the future 🔥🔥  $DOKI $BTC $ETH $ENJ $SLP $[AXS] $NFTX #NFT #nftart #NFTartists #manga;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-05-01 09:59;https://twitter.com/rocosport/status/1388402696135319552;+;post;;165;rocosport;165;0.6;52.740929;4.89936;Officine Mattio SL with Sram Force [AXS] etap 👌frame size 54cm, Reach 386mm, stack 553mm. Special demo price. #Officinemattio #roadbike #racefietsen #cycling #bicycle #racefiets #italianbike @ Rocosport https://t.co/NAubPZ17Cp;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-30 16:35;https://twitter.com/SnapFingersCom/status/1388139942379884545;;post;2;5767;SnapFingersCom;5767;4.1;;;👀NFT projects rebound?  Joint Top10 #NFT recap with @beep_crypto🔥 @Theta_Network  @Chiliz @ChzCoin  @enjin  @decentraland  @flow_blockchain  @ecomi_  @bakery_swap @bakery_swap_es  @AxieInfinity  @AlienWorlds  @WAX_io  $THETA $CHZ $ENJ $MANA $FLOW $OMI $BAKE $[AXS] $TLM $WAXP 🚀🚀 https://t.co/ki5vYsOEjv;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-30 04:17;https://twitter.com/Cryptoc95295747/status/1387954245010436107;;post;;576;Cryptoc95295747;576;0.7;;;Axie Infinity ([AXS]) Koers verwachting 2021 – Wat gaat de Koers doen? Ontdek de laatste Axie Infinity koers verwachting https://t.co/c4tXQVnjQz #Bitcoin #cryptocurrency Nieuws;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-28 12:29;https://twitter.com/Athenia_IA/status/1387353257870233600;;post;;148;Athenia_IA;148;0.7;;;$[AXS] #ACCSYS - 1 uur: Alle elementen zijn vrij bullish, het zou voor traders mogelijk zijn om alleen longposities te handelen (op moment van aankoop) op ACCSYS zolang de... https://t.co/Iyehkrbhqg;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-28 12:29;https://twitter.com/CentralchartsNL/status/1387353258927267841;;post;;132;CentralchartsNL;132;0.7;;;$[AXS] #ACCSYS - 1 uur: Alle elementen zijn vrij bullish, het zou voor traders mogelijk zijn om alleen longposities te handelen (op moment van aankoop) op ACCSYS zolang de... https://t.co/tn0nGeU6qv;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-26 18:27;https://twitter.com/beurstweets/status/1386718605698502661;;post;;7142;beurstweets;7142;1;;;Slotcall: Risk-on: AEX -0,0% en een rondje langs bitcoin, PostNL, Philips, ASML, ABN Amro, ING, Heineken, Wolters Kluwer, ECP, JDE Peet's, WDP, [Accsys] en meer! https://t.co/OmaDUtImRw;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-26 15:45;https://twitter.com/CentralchartsNL/status/1386677808215244800;;post;;132;CentralchartsNL;132;0.7;;;$[AXS] #ACCSYS - Dagelijks: Alle elementen zijn duidelijk bullish, het zou voor traders mogelijk zijn om alleen longposities te handelen (op moment van aankoop) op ACCSYS zolang... https://t.co/BYJRXUf9bq;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-26 15:45;https://twitter.com/Athenia_IA/status/1386677807154188291;;post;;148;Athenia_IA;148;0.7;;;$[AXS] #ACCSYS - Dagelijks: Alle elementen zijn duidelijk bullish, het zou voor traders mogelijk zijn om alleen longposities te handelen (op moment van aankoop) op ACCSYS zolang... https://t.co/vj9LKzcVJb;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-25 10:54;https://twitter.com/Weggeefhoeknet/status/1386242202515476481;;post;;170;Weggeefhoeknet;170;0.6;;;Aangeboden: 2021 Scott Spark 900 Ultimate [AXS] Mountain Bike. Kijk snel op https://t.co/R9gPK9IpR7 #weggeefhoek #gratis #ophalen https://t.co/pvx1cQOjk4;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-23 12:47;https://twitter.com/NFTDaily/status/1385545945312497665;;post;4;4606;NFTDaily;4606;4.2;;;🔥TIME TO SHOPPING🛍️🛒  Some of the most potential #NFT projects seem to be at the bottom! @blindboxes_io just launched #Mainnet beta, check it out!  $DMT $GET $CMS $PRT $[AXS] $SPH $NIF $BLES $CHONK $GUM https://t.co/DvF4DwkeVF;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-23 04:01;https://twitter.com/kortdoordebocht/status/1385413367582572546;;post;;691;kortdoordebocht;691;0.6;;;Parlee Chebacco XD with SRAM Rival eTap [AXS]: Unboxing & Features of the next review bike... https://t.co/v6Mr11lX1A https://t.co/NPAyVlJ2V1;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-22 10:24;https://twitter.com/beurstip/status/1385147571547557890;+;post;;2805;beurstip;2805;0.6;;;Veelbelovende cijfers [Accsys Technologies] na snel herstel van Covid-19 periode: https://t.co/9Lr6NtCeCw Nu een mooi koopmoment.   https://t.co/xaVHGiUmFQ;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-20 22:46;https://twitter.com/DYORCryptoBot/status/1384609478486679552;;post;2;45742;DYORCryptoBot;45742;4.1;;;[[SCAN RESULTS - 15m - #BTC PAIR]]  Binance top 5 bullish strength 1: $XRP 2: $NBS 3: $AION 4: $FET 5: $SKY  Binance top 5 bullish reversal strength 1: $DOGE 2: $RDN 3: $PAXG 4: $[AXS] 5: $EASY  All results on https://t.co/vMSA8RwQ1G website!;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-19 09:05;https://twitter.com/Beleggersdesk/status/1384040389519155200;;post;;1552;Beleggersdesk;1552;0.9;;;[Accsys]: Groeiversnelling in tweede jaarhelft [#Accsys] https://t.co/xCFgjnEoLP;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-19 09:05;https://twitter.com/IEXnl/status/1384040387266834443;;post;;6782;IEXnl;6782;0.6;;;[Accsys]: Groeiversnelling in tweede jaarhelft https://t.co/UCksMZbXfr #IEX;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-17 13:09;https://twitter.com/racefietsblog/status/1383377168219004932;;post;;3346;racefietsblog;3346;0.5;;;Draadloos schakelen met de nieuwe SRAM Rival eTap [AXS] groepset https://t.co/Hp9iahYCh6 @SRAMroad;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-16 08:47;https://twitter.com/beurstweets/status/1382948640394661890;;post;;7109;beurstweets;7109;0.9;;;Sterke tweede jaarhelft [Accsys]: [Accsys] heeft een sterke tweede jaarhelft achter de rug waarin de omzet flink groeide. Dit maakte de houtveredelaar met een fabriek in Arnhem vrijdag voorbeurs bekend. https://t.co/QNp6OwpNUI https://t.co/xX564sdYp3;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-15 21:03;https://twitter.com/gissellegtr/status/1382771582867673088;;post;;518;gissellegtr;518;0.3;;;WTFFFF [AXS] IS BROKEN;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-15 18:23;https://twitter.com/ZuzzyCadeau/status/1382731299392196614;;post;;1084;ZuzzyCadeau;1084;0.6;;;(SRAM Rival eTap [AXS], elektronisch schakelen sijpelt door naar beneden) - https://t.co/oaZkZmd29L #fiets #fietsen #fietsmand #avontuur https://t.co/hiSPGVGVyJ;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-15 17:55;https://twitter.com/twcdespurt/status/1382724205574250498;;post;;133;twcdespurt;133;0.5;;;SRAM Rival eTap [AXS], elektronisch schakelen sijpelt door naar beneden https://t.co/2MG6UTfhmx;twitter;
"""Accsys Technologies"" OR ""AXS"" O...";2021-04-15 17:46;https://twitter.com/fietsmagazine/status/1382722007012409346;+;post;;8101;fietsmagazine;8101;1.8;;;Heb je 'm al gezien? De nieuwe Rival [AXS] groep van @SRAMroad ? Mooi spul hoor, https://t.co/BknnFPCpC6 https://t.co/qRQ1xImPUM;twitter;
