zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-04-29 09:20;https://twitter.com/AdHansen1/status/1387668161647026176;;post;2;6;AdHansen1;6;3.4;;;@TheDailyTurbo Nico [ACCEL] profiteert van de sterke stijging verkoop E Bicks. Lijkt nog bij lange na niet ten einde. Wat is uw visie t.a,v, de koers ontwikkeling?;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-04-21 19:12;https://twitter.com/hellahueck/status/1384917879058059267;;post;5;25280;hellahueck;25280;52.6;;;Verklaring van onze hoofdredactie over de benoeming van FDMG-ceo Eugenie van Wiechen tot commissaris bij [Accell Group] https://t.co/PvJQ4LjC05;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-04-19 17:39;https://twitter.com/NieuwsFiets/status/1384169721122095112;+;post;;524;NieuwsFiets;524;1;;;Aandeel [Accell Group] koerst goed op koersdoel - https://t.co/zTEs8B704M https://t.co/U5hKI0lp8l;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-04-12 14:30;https://twitter.com/GertvanHarskamp/status/1381585605998608385;;post;2;2199;GertvanHarskamp;2199;14.4;;;[Accell Group] van onder meer de merken Batavus en Koga wil deel productie fietsen terughalen naar Europa. https://t.co/tUVCDvYBmJ #BNR #ikhoorbijBNR;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-04-10 07:12;https://twitter.com/FlaShBloGLive/status/1380750428615307267;;post;;1101;FlaShBloGLive;1101;0.6;;;[Accell Group] wil deel productie fietsen terughalen naar Europa - BNR Nieuws https://t.co/hQLRpWohYu;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-04-09 21:27;https://twitter.com/MulderDirk/status/1380603322013454342;;post;;1431;MulderDirk;1431;1.7;;;[Accell Group] heeft plannen om een deel van de productie van zijn fietsen en fietsonderdelen weer naar Europa te halen. Het bedrijf, bekend van merken als Koga en Batavus, verkent de mogelijkheden van productielocaties in oa. Portug…https://t.co/Ere1QJf0BR https://t.co/4OfiWHpjiu;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-04-09 20:40;https://twitter.com/BNR/status/1380591463004827649;;post;;122402;BNR;122402;150.7;;;[Accell Group] wil deel productie fietsen terughalen naar Europa https://t.co/N3wXPcto9E;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-04-09 15:13;https://twitter.com/huizenprijzen/status/1380509073725136896;;post;;4098;huizenprijzen;4098;1.5;;;Zo zorg je voor werk in oost Europa.   [Accell Group] wil deel productie fietsen terughalen naar Europa. https://t.co/7x2GGTfCPm #BNR #ikhoorbijBNR;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-03-31 12:14;https://twitter.com/UniGroningenFEB/status/1377202558679318529;;post;;2074;UniGroningenFEB;2074;0.7;;;"FEB alum Annemarie Jorna of [Accell Group] was just voted Young Captain 2020!  Jury chairman Cees 't Hart:  ""Annemarie heeft als leider echte betrokkenheid en is niet bang om keuzes te maken. Ze toont niet alleen visie maar durft hier ook naar te handelen.”  https://t.co/CKW29j7i4e https://t.co/zx7rf1MTNZ";twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-03-30 09:37;https://twitter.com/euronext_nl/status/1376800627016224771;;post;2;5682;euronext_nl;5682;4.2;;;Annemarie Jorna, Operations Director Nederland bij [Accell Group], luidde vandaag de gong als winnaar van de @YoungCaptainNL Award 2020. Zij werd virtueel verwelkomd door Lindsay Faijdherbe, HR Business Partner van Euronext Amsterdam. #beursgong https://t.co/xcESIYE69n https://t.co/sCbk28aArw;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-03-09 18:31;https://twitter.com/vacaturebank/status/1369340087276740608;;post;;961;vacaturebank;961;0.7;;;Commercieel medewerker: GE-Ede, Accell Nederland B.V. maakt onderdeel uit van de [Accell Group] N.V. en is gevestigd in Apeldoorn en Heerenveen. In het najaar van 2016 is de nieuwe experience center in Ede geopend. Hier zijn alle merken van Accell… https://t.co/p1wk0fPZHo;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-03-05 11:10;https://twitter.com/beurstweets/status/1367779555558137861;;post;;6989;beurstweets;6989;0.8;;;Beurzen Vandaag | ICT Group, [Accell Group] en Corbion: De Europese aandelenbeurzen zijn vrijdag in het rood van start gegaan, nadat Federal Reserve-voorzitter Jerome Powell donderdag beleggers niet gerust wist te stellen. ICT Group ontving deze morgen een… https://t.co/u4SFcbEXVV https://t.co/nqvjLRDrZE;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-03-05 09:05;https://twitter.com/FrankWyers/status/1367748112249466890;+;post;;185;FrankWyers;185;0.5;;;Pareltje glanst: Forse winstgroei fietsenreus [Accell Group] https://t.co/HcabmBZhtw via @telegraaf;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-03-03 12:54;https://twitter.com/GranBreaker_/status/1367081062317379589;;post;;3068;GranBreaker_;3068;0.4;;;[ACCEL] DRIP ON STREAM UZI VERT ICI https://t.co/TNqj2PocNa;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-02-18 05:35;https://twitter.com/xo_coachingjobs/status/1362259433447854083;;post;;3148;xo_coachingjobs;3148;0.5;;;Middle School Volleyball Assistant Coach - [ACCEL] Schools - Colorado Springs, CO https://t.co/cb20dwJatc;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-02-10 12:30;https://twitter.com/BikeEurope/status/1359464632952320004;;post;;3384;BikeEurope;3384;0.5;;;[Accell Group]’s Turkish subsidiary, Accell Bisiklet, is producing a high percentage of these exported e-bikes. #accellgroup #ebike #accellbisiklet #turkey https://t.co/AUkAnrHG0C;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-01-23 07:31;https://twitter.com/VacaturesHeeren/status/1352866535438598145;;post;;1217;VacaturesHeeren;1217;0.5;;;Teamlead BI & Analytics – [Accell Group] – Heerenveen https://t.co/sEUwvzMC7a;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-01-09 15:11;https://twitter.com/xo_coachingjobs/status/1347908747021099008;;post;;3127;xo_coachingjobs;3127;0.5;;;Middle School Volleyball Assistant Coach - [ACCEL] Schools - Colorado Springs, CO https://t.co/X0D0Kw1nf0;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-01-06 11:22;https://twitter.com/NieuwsFiets/status/1346764159388692482;;post;;520;NieuwsFiets;520;0.9;;;Pon weer helemaal los van [Accell Group] - NieuwsFiets Media & Events https://t.co/UIasMSmheU;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-01-01 13:58;https://twitter.com/wijngaard63/status/1344991409028419584;;post;;67;wijngaard63;67;0.7;;;Pon-aandeel in [Accell Group] nog verder verkleind  https://t.co/17EpF7Ihmz https://t.co/X3BoyrpvTm;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2021-01-01 13:47;https://twitter.com/NieuwsFiets/status/1344988561746092032;;post;;520;NieuwsFiets;520;1.1;;;Pon-aandeel in [Accell Group] nog verder verkleind - NieuwsFiets Media & Events https://t.co/DDMfD0LB7V;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2020-12-17 16:28;https://twitter.com/BikeEurope/status/1339593424534601735;;post;;3373;BikeEurope;3373;0.7;;;Former cargobike manager now heads [Accell Group] operation in Denmark and the Benelux. #accelgroup #velosophy #carbobike #epcovlugt https://t.co/8mxztgZNph;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2020-12-15 11:12;https://twitter.com/NieuwsFiets/status/1338788931689648129;;post;;518;NieuwsFiets;518;1;;;Pon heeft aandeel in [Accell Group] gehalveerd - NieuwsFiets Media & Events https://t.co/oR0R8ZU6xF;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2020-12-14 21:59;https://twitter.com/ADnl/status/1338589513292148742;;post;5;381303;ADnl;381303;319.6;;;Even leek 2020 ook voor de fietsindustrie een rampjaar te worden, maar de branche komt glorieus uit de strijd. Fabrikant [Accell Group], de grootste e-bike fabrikant van Europa, kan de vraag niet aan - (Premium) https://t.co/p9QJdxOzBQ;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2020-11-26 14:49;https://twitter.com/CentralchartsNL/status/1331958299160436736;;post;;105;CentralchartsNL;105;0.7;;;$[ACCEL] #ACCELL - Dagelijks: ACCELL GROUP maakt een erg sterke bullish trend door. Traders kunnen overwegen alleen longposities te handelen (op moment van aankoop) zolang de koers... https://t.co/dUSJiaUYpp;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2020-11-26 14:49;https://twitter.com/Athenia_IA/status/1331958298048868352;;post;;145;Athenia_IA;145;0.7;;;$[ACCEL] #ACCELL - Dagelijks: ACCELL GROUP maakt een erg sterke bullish trend door. Traders kunnen overwegen alleen longposities te handelen (op moment van aankoop) zolang de koers... https://t.co/VmSxbZIM6X;twitter;
"""Accell Group"" OR ""ACCEL"" (src:t...";2020-11-23 13:46;https://twitter.com/MeMeSaphiX/status/1330855171895812096;;post;2;639;MeMeSaphiX;639;3;;;GOOD LUCK BOSS!  0.8, 800, 1920x1080, no [ACCEL] Roccat Kone Pure https://t.co/TcxWigFsgC;twitter;
