zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""Air France-KLM"" OR ""Air France""...";2021-05-05 16:03;https://twitter.com/Papa_Mischa/status/1389943907673313286;;post;;1323;Papa_Mischa;1323;13.9;;;Er komen meer dan 100 nieuwe luchtvaartmaatschappijen bij! Maar Lufthansa en Brussel airline lijden verlies en [KLM] is zelfs technisch failliet. Schiet mij maar lek.;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 15:16;https://twitter.com/EHSBradar/status/1389931974178099202;;post;;1325;EHSBradar;1325;0.9;;;Martinair Vestiging Vliegveld Lelystad B V Diamond Aircraft Twin Star DA42 NG (PH-MFA, #484F60) as [KLM] Flight Academy flight #KLM7908 at 6450 ft over Groningen (Netherlands). At: https://t.co/RP2HbXwvqu;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 15:11;https://twitter.com/Rob0895/status/1389930807670804480;;post;;706;Rob0895;706;0.6;;;Nice for the sun to stay out for my yesterday @HeathrowAirport to get this shot of regular visitor from @Schiphol the [@KLM] Boeing 737 #aviation #heathrow https://t.co/aGQO75bX6G;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 15:10;https://twitter.com/Rob0895/status/1389930460524994560;;post;;706;Rob0895;706;0.6;;;Nice for the sun to stay out for my yesterday @HeathrowAirport to get this shot of regular visitor from @Schiphol the [@KLM] Boeing 737 https://t.co/aywdiT6TYO;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 12:21;https://twitter.com/LaymanNameless/status/1389887879543857157;+;post;;113;LaymanNameless;113;0.6;;;Last landing of the [KLM] Boeing 747 at Sint Maarten (SXM) 🛬😍 https://t.co/QxndJmKtmp @YouTubeから;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 11:16;https://twitter.com/BendaJulia/status/1389871715027652610;;post;2;398;BendaJulia;398;1.5;;;@SchipholWatch Ineens bedenk ik een antwoord op de vraag waarom zo’n mega luchthaven in NL? Zou functie Schiphol niet gewoon die van een tankstation zijn? Stel het doel van Schiphol en [KLM] is vooral de verkoop van fossiele brandstof? Zou willen dat @FTM_nl  dat eens uitzocht.;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 11:05;https://twitter.com/SteffenHofstra/status/1389868805896159237;-;post;4;406;SteffenHofstra;406;6.1;;;Zullen we ⁦@AirportLeIystad⁩ en ⁦@KLM⁩ maar aanbevelen bij ⁦@AutoriteitCM⁩ . Scheelt een hoop onzin lezen. https://t.co/hqpPp5iChf;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 10:37;https://twitter.com/ossie0022/status/1389861837395668992;;post;;878;ossie0022;878;1.2;;;Ik heb een @Viktor_and_Rolf tasje van de [@KLM] 50 cent gekost. #koffietijd;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 10:27;https://twitter.com/RobbertM_IG/status/1389859206048722944;-;post;;138;RobbertM_IG;138;2.2;;;[Air France-KLM] publiceert morgen kwartaalcijfers.  Wij denken dat het bedrijf er al zo slecht voor staat, dat deze cijfers weinig aan de beleggingscasus toevoegen. https://t.co/HEmzf9m72H;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 10:05;https://twitter.com/KLM/status/1389853621613957122;;post;3;2320853;KLM;2320853;2.4;;;Free as a bird 🕊🇳🇱 [#KLM] #Bevrijdingsdag #LiberationDay https://t.co/lMo72QZQO2;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 09:52;https://twitter.com/TSIUSA/status/1389850523818467328;;post;;772;TSIUSA;772;0.7;;;[Air France] Reopens Spectacular La Premiere LoungeNot only is [Air France] opening the La Premiere Lounge, but the airline has also taken the opportunity to ... Flight-Report (@flight_report) May 4, 2021 ... https://t.co/dX2As20RLT;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 09:51;https://twitter.com/RuudHteB/status/1389850250525954054;;post;;932;RuudHteB;932;15.6;;;“Kwartaalcijfers [Air France-KLM] maken eigenlijk weinig uit”, aldus @IGNederland  https://t.co/vQWeNk9nkj;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 09:47;https://twitter.com/velsen5/status/1389849242118901762;;post;;190;velsen5;190;1.3;;;Hoe zet [KLM] haar Future Proof Skilling Program op tijde van de COVID-19 pandemie? Yvette geeft ons een inkijkje. De complete video-impressie van de Kumi-Kata Leader Lunch kan je hier terugkijken. https://t.co/XR1AyIc7PD #learning #leaderlunch #lms [#KLM] https://t.co/xuZ0RvNbcG;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 09:32;https://twitter.com/Weekendtraders/status/1389845462291648517;;post;;1032;Weekendtraders;1032;1.1;;;Kwartaalcijfers [Air France-KLM] maken eigenlijk weinig uit https://t.co/Zei4o5jcOu #Beleggen #AEX #Aandelen;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-05 09:02;https://twitter.com/Klacht_NL/status/1389837821091921921;;post;;1243;Klacht_NL;1243;0.6;;;Er is een nieuwe klacht gemeld over [KLM] op https://t.co/s8ifVv0DFc, zie https://t.co/UHtRdGFNsn Oplossen? https://t.co/Ls4T06i8Ff;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 23:31;https://twitter.com/armburlage/status/1389694074534367239;;post;3;1281;armburlage;1281;2;;;De [@KLM] werft mensen voor de afdeling communicatie. Eén van de eisen: “…en je houdt natuurlijk van vliegtuigen”. Over amateurs gesproken. Je gelooft het niet!;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 21:56;https://twitter.com/HFDZuidGeluid/status/1389670358823931913;-;post;10;264;HFDZuidGeluid;264;0.8;;;.[@KLM] gaat weer eens te kort door de bocht. Onnodig. Stop het huftergedrag van Schiphol en consorten!  #krimp #schiphol https://t.co/5I5K45wR1X;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 21:28;https://twitter.com/BdrechtVliegen/status/1389663123242721283;;post;;109;BdrechtVliegen;109;0.6;;;Over 0.9 minuut vliegt [#KLM] vlucht KLM91Z richting het zuiden op een hoogte van 4.6km met 599km/h over #Barendrecht.;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 19:09;https://twitter.com/GoeiedagBE/status/1389628197956882438;;post;;684;GoeiedagBE;684;0.6;;;Politiezone [KLM] houdt labelactie tegen fietsdiefstallen - https://t.co/xKJR35LBx3 #goeiedag https://t.co/RNRqAUmZ2B;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 18:24;https://twitter.com/aen_visser/status/1389617008388546562;;post;;135;aen_visser;135;0.8;;;Ook grote bedrijven doen mee met de bestrijding van de klimaatverandering #ClimateAction #ClimateCrisis #CO2 De grootste vervuilers moeten meebetalen aan de transitie naar een duurzame (fossielvrije) samenleving.  @Schiphol [@KLM] @Shell   https://t.co/LmpgPc2rPV;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 17:36;https://twitter.com/BoardingArea/status/1389604763453456385;;post;3;49795;BoardingArea;49795;1.1;;;[Air France] Reopens Spectacular La Premiere Lounge https://t.co/rAxMMGkE1Q via @OneMileataTime https://t.co/BhzBF8X2jA;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 17:33;https://twitter.com/OneMileataTime/status/1389604093451284484;;post;2;72905;OneMileataTime;72905;3.6;;;[Air France] Reopens Spectacular La Premiere Lounge https://t.co/l13uQh75qQ https://t.co/2S97wn8Eza;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 17:26;https://twitter.com/BesteNieuws/status/1389602279305613313;-;post;;6679;BesteNieuws;6679;1.5;;;Rukwinden slingeren vliegtuig tijdens landing heen en weer: Een vliegtuig van de Nederlandse luchtvaartmaatschappij [KLM] is maandag in de problemen gekomen bij de landing in het Britse Bristol. Door het slechte… https://t.co/n3W2RHmNED #guestposts #nederlandsnieuws #nederland https://t.co/3dO8yHscOC;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 17:25;https://twitter.com/ABCOnlineMedia/status/1389602126066819079;;post;;4585;ABCOnlineMedia;4585;1;;;[KLM] Skyteam toestel landt voor het eerst op #Bonaire https://t.co/oBRqJG7SO8 #luchtvaartreizen #nieuws;twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 17:03;https://twitter.com/SchipholWatch/status/1389596458987438086;;post;2;2375;SchipholWatch;2375;101.3;;;"""[KLM] verzorgt jaarlijks 8,6 Megaton CO2 uitstoot. [KLM] vestigt hoop op technologieën die geen haalbaar alternatief vormen om de uitstoot voldoende te verminderen. Ondanks hun jaarlijkse uitstoot zet [KLM] zichzelf graag als groene speler in de spotlight."" https://t.co/RWUHnvnEwI";twitter;
"""Air France-KLM"" OR ""Air France""...";2021-05-04 16:48;https://twitter.com/BesteNieuws/status/1389592712400101377;;post;;6679;BesteNieuws;6679;1.5;;;Beeldend kunstenares maakt galajurk van mondkapjes voor bij de vaccinatie - RTV Rijnmond: Marion uit Rotterdam is beeldend kunstenares en heeft 25 jaar als stewardess gevlogen voor de [KLM] en haar voeten daar kapot… https://t.co/86QAwfaT5w #nederland #nederlandsnews #nederlands https://t.co/6icUDqsARs;twitter;
