zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-05-04 18:18;https://twitter.com/beurstweets/status/1389615331786706952;;post;;7152;beurstweets;7152;0.8;;;Slotcall: Yellen zet beurs in vuur en vlam: AEX -2,1% en een rondje langs Kendrion, BAM, IMCD, Besi, Signify, Adyen, [Alfen], Heijmans en meer! https://t.co/0WkMipWQSP https://t.co/FZceHwk8pw;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-30 11:47;https://twitter.com/CentralchartsNL/status/1388067414441697283;;post;;133;CentralchartsNL;133;0.7;;;$[ALFEN] [#ALFEN] - Dagelijks: Alle elementen zijn duidelijk bearish, het zou voor traders mogelijk zijn om alleen shortposities (ter verkoop) te handelen op [ALFEN] zolang de koers... https://t.co/Btg9FWvrjt;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-30 11:47;https://twitter.com/Athenia_IA/status/1388067413380448256;;post;;148;Athenia_IA;148;0.7;;;$[ALFEN] [#ALFEN] - Dagelijks: Alle elementen zijn duidelijk bearish, het zou voor traders mogelijk zijn om alleen shortposities (ter verkoop) te handelen op [ALFEN] zolang de koers... https://t.co/3OQp9Kfbpp;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-30 10:07;https://twitter.com/TheDailyTurbo/status/1388042393530871808;;post;;13012;TheDailyTurbo;13012;1.6;;;Setup ASR is valide dankzij de steunstreep op 36,20, Setup [ALFEN] hapert bij de  SMA lijn op 69,25. Er dreigt een vervolg van de downtrend, we verzilveren de bescheiden winst.;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-29 15:01;https://twitter.com/CentralchartsNL/status/1387754027497181189;;post;;133;CentralchartsNL;133;0.7;;;$[ALFEN] [#ALFEN] - 1 uur: [ALFEN] maakt een erg sterke bullish trend door. Traders kunnen overwegen alleen longposities te handelen (op moment van aankoop) zolang de koers ruim... https://t.co/Gx4f0Tuf3u;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-29 15:01;https://twitter.com/Athenia_IA/status/1387754026410942468;;post;;148;Athenia_IA;148;0.7;;;$[ALFEN] [#ALFEN] - 1 uur: [ALFEN] maakt een erg sterke bullish trend door. Traders kunnen overwegen alleen longposities te handelen (op moment van aankoop) zolang de koers ruim... https://t.co/C5KvDunmqx;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-27 09:07;https://twitter.com/dietervaneis/status/1386940086282072064;;post;;71;dietervaneis;71;1.6;;;@TheDailyTurbo [Alfen] wil wel wil niet....beetje vaag beeld ....uw SetUp nog net zo valide?;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-23 09:26;https://twitter.com/dietervaneis/status/1385495288337637378;+;post;;71;dietervaneis;71;1.5;;;@TheDailyTurbo [Alfen] gewoon weer groen Nico.....mooie SetUpLong...complimento;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-22 18:12;https://twitter.com/beurstweets/status/1385265153696952322;;post;;7130;beurstweets;7130;1;;;Slotcall: Amerikaanse meevaller: AEX +0,5% en een rondje langs Pharming, Basic-Fit, Sligro, Relx, Akzo Nobel, Randstad, PostNL, Fugro, JDE Peet's, Vopak, Accell, [Alfen], https://t.co/PE3R0B3970 en meer! https://t.co/CajFSGCvsY;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-22 16:34;https://twitter.com/dietervaneis/status/1385240552342499329;;post;;71;dietervaneis;71;1.6;;;@TheDailyTurbo Mijn complimenten voor het [Alfen] verhaal....gaat erg hard nu hopelijk niet te hard technisch gezien maar ja het was ook zo afgedaald....;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-22 13:31;https://twitter.com/CentralchartsNL/status/1385194516811067393;;post;;130;CentralchartsNL;130;0.7;;;$[ALFEN] [#ALFEN] - Dagelijks: De bearish trend is momenteel erg sterk voor [ALFEN]. Zolang de koers onder de weerstand op 67,46 EUR blijft, kun je proberen te profiteren van deze... https://t.co/rbhm01GvSv;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-22 13:31;https://twitter.com/Athenia_IA/status/1385194515796054016;;post;;147;Athenia_IA;147;0.7;;;$[ALFEN] [#ALFEN] - Dagelijks: De bearish trend is momenteel erg sterk voor [ALFEN]. Zolang de koers onder de weerstand op 67,46 EUR blijft, kun je proberen te profiteren van deze... https://t.co/W2fjA4moOb;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-22 11:11;https://twitter.com/TheDailyTurbo/status/1385159241401520128;;post;;13009;TheDailyTurbo;13009;1.6;;;De preview van de #TTSETUP van #FORFARMERS (turbo https://t.co/XPITVGWi24) en [#ALFEN] (turbo https://t.co/WRvJ8LwYDQ) staat voor u op: https://t.co/8znuzJM39k;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-22 10:13;https://twitter.com/TheDailyTurbo/status/1385144786332622851;;post;;13009;TheDailyTurbo;13009;1.6;;;We hebben 2 Daily TTL Setups voor u in de aanbieding, [ALFEN] rn FORFARMERS, toelichting volgt asap. Check de charts alvast. https://t.co/kvAdaoPH3x;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-21 18:23;https://twitter.com/shortsell_nl/status/1384905555932815360;;post;;2789;shortsell_nl;2789;0.6;;;20 apr: Arrowstreet Capital vergroot shortpositie in [Alfen] van 0.72% naar 0.82% https://t.co/uVIRKVBsd7 [#Alfen] #short;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-21 13:00;https://twitter.com/TheDailyTurbo/status/1384824271806021638;;post;;13015;TheDailyTurbo;13015;1.6;;;Ook [ALFEN] is een 'wacht-op-wit-voor-EL kans' kandidaat..kijk maar.... https://t.co/sNdw9WqqEM;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-20 12:08;https://twitter.com/dietervaneis/status/1384448907002974210;;post;3;71;dietervaneis;71;0.8;;;@TheDailyTurbo Wat is een bodempatroon nog waard als je bij [Alfen] ziet dat die al 4x heeft gebodemd op 64...volgens ta had er allang een herstel ingezet moeten zijn...gaarne uw toelichting;twitter;
"""Alfen"" OR ""ALFEN"" (src:twitter)...";2021-04-16 17:21;https://twitter.com/beurstweets/status/1383077998773952512;;post;;7110;beurstweets;7110;0.9;;;IEX Podcast: Euro versus bitcoin: We hebben het o.a. over Coinbase, Shell, Just Eat Takeaway, Fagron, [Alfen], Sif, Plug Power, ASML en we hebben een speciale gast. https://t.co/xDQcO9KL2u https://t.co/lWruQxvXOG;twitter;
