zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""Coca-Cola European Partners"" OR...";2021-05-20 19:34;https://twitter.com/EftelHistorie/status/1395432663507480585;+;post;;1859;EftelHistorie;1859;1.9;;;Vandaag in 2004 werden de [Coca Cola] automaten en Broodje Unox karren in een nieuw jasje gestoken. Laat het @foodwatch_nl maar niet horen 😅;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-20 19:19;https://twitter.com/Klacht_NL/status/1395428957734985730;;post;;1238;Klacht_NL;1238;0.6;;;Er is een nieuwe klacht gemeld over [Coca-Cola] op https://t.co/s8ifVv0DFc, zie https://t.co/zZiHFJG9VE Oplossen? https://t.co/Ls4T06i8Ff;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-20 15:42;https://twitter.com/vanveeelen/status/1395374260093427714;;post;4;6930;vanveeelen;6930;1.9;;;Vorig week schreef ik in NRC over inclusiviteit en het songfestivalsmotto 'Open Up'. En dat het motto me deed denken aan de [Coca Cola]-campagne 'Open like never before'. Wist toen nog niet dat de nieuwe Rotterdamse manager Marketing & Communicatie bij [Coca Cola] vandaan komt: https://t.co/wB8guUHAOl;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-20 13:37;https://twitter.com/theRadicalFIRE/status/1395342795242680321;;post;;2289;theRadicalFIRE;2289;0.5;;;[Coca-Cola] (KO): Dividend Safety - Dividend Power https://t.co/gcjPR4QhZj via @DividendPower1;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-20 13:25;https://twitter.com/hostmeester/status/1395340016667217922;;post;3;516;hostmeester;516;2.2;;;Beleg net als ik commissievrij met BUX Zero. We krijgen dan allebei een gratis aandeel zoals Apple, GoPro of [Coca-Cola]! (Bux is van ABN AMRO) https://t.co/ImldwBmRPH;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-20 12:18;https://twitter.com/HaraldDoornbos/status/1395323052209094659;;post;17;88242;HaraldDoornbos;88242;67.1;;;[Coca-Cola] light in Arabic. https://t.co/lyzBobx23v;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-20 12:08;https://twitter.com/Matthijs85/status/1395320532594266113;;post;3;28808;Matthijs85;28808;173.1;;;Cocaïne was een medisch middel tegen verkoudheden en allergie als drankje ([Coca-Cola]) #CocaCola of als poeder om te snuiven 🤥__  #drugs  Ruwe cocaïne behoorde vanaf 1890 tot de meest winstgevende handelsproducten ter wereld https://t.co/kVJ2GUQgc7 https://t.co/pzoleB3mAo;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-20 10:20;https://twitter.com/Appdeicon7/status/1395293257630945280;;post;;67;Appdeicon7;67;2.6;;;Multinationals die ons letterlijk de wet voorschrijven? Het gebeurt al op grote schaal. Nieuw is dat deze multinationals ons denken en gedrag willen manipuleren: [Coca Cola], Nike, Procter & Gamble (Gilette) eva.  Ik weiger deze allescontrolerende 1 %-elite nog langer te spekken.;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-19 23:05;https://twitter.com/zolderio/status/1395123359076192261;-;post;5;804;zolderio;804;5;;;#Zoldersessions met @bjorgenvanessen - Producer van onze eigen tune. Lockdown Lul, [Coca Cola], muziek, gamen, etc  Terug kijken/luisteren via: 📺 YouTube: https://t.co/gytMMuVqFo 🎧 Spotify: https://t.co/oHRgDoqolN 🍏 Apple: https://t.co/45I8Iixmdm 🌐 Web: https://t.co/zItL8MPwyi https://t.co/q3JHYZx9oK;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-19 20:55;https://twitter.com/OGA02/status/1395090812359299078;;post;;54;OGA02;54;0.6;;;Beleg net als ik commissievrij met BUX Zero. We krijgen dan allebei een gratis aandeel zoals Apple, GoPro of [Coca-Cola]. https://t.co/t3HBAL2JzL;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-19 17:07;https://twitter.com/Dart_Adams/status/1395033306064949249;+;post;2;23080;Dart_Adams;23080;2.4;;;On this date, Run DMC’s classic LP “Raising Hell” was released on Profile Records. It went Platinum in two months and 2x Platinum in four months. They secured endorsement deals with Adidas and [Coca Cola] then went on the Raising Hell Tour with Whodini, LL Cool J & Beastie Boys. https://t.co/GAF2L5DUxs;twitter;
"""Coca-Cola European Partners"" OR...";2021-05-19 13:53;https://twitter.com/janrotmans/status/1394984499763630084;;post;31;51166;janrotmans;51166;89.7;;;Oliebedrijven als ExxonMobil zijn enorme plasticvervuilers, net als [Coca Cola] en Pepsi Cola. Maar kijk ook naar de hoeveelheid plastic afval per hoofd van de bevolking, Nederland staat op nr. 4!  https://t.co/TJ7wEvvumW;twitter;
