zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-20 20:17;https://twitter.com/OmroepFlevoland/status/1395443632031862788;;post;2;27142;OmroepFlevoland;27142;17;;;Netbeheerder [Liander] wil met de gemeente Almere in gesprek over de aanleg van stroom in de pionierswijk Oosterwold. https://t.co/miRH2qVZuq;twitter;
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-20 17:41;https://twitter.com/HRMensen/status/1395404234217070592;;post;;860;HRMensen;860;0.8;;;Werf& Awards dit jaar voor Abdij Koningshoeven, [Alliander], DPG Distributie en Jumbo https://t.co/QLdX4ssukf;twitter;
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-20 16:50;https://twitter.com/247HRM/status/1395391377773633537;;post;;19315;247HRM;19315;0.6;;;Werf& Awards dit jaar voor Abdij Koningshoeven, [Alliander], DPG Distributie en Jumbo: https://t.co/79G3C0Z5T3;twitter;
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-20 16:35;https://twitter.com/werfen/status/1395387772119158792;+;post;;4526;werfen;4526;2;;;De vakjuryprijzen van de Werf& Awards zijn dit jaar gewonnen door de Abdij Koningshoeven en [Alliander], de publieksprijzen waren voor DPG Distributie en Jumbo. Gefeliciteerd! En waaraan danken zij die zege? https://t.co/KVFwTOFaTJ;twitter;
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-20 15:19;https://twitter.com/asonnega/status/1395368510570778626;-;post;6;87;asonnega;87;2.5;;;Let op: [@Alliander] @LianderNL laat slimme meters plaatsen door goedkope onderaannemers zonder deze te controleren op druk. Weiger een plaatsing van een niet [Liander] installateur. Ketel kapot en kans op ontploffing. Is jouw meter al vervangen door onderaannemer ? Bel met [Liander];twitter;
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-20 14:49;https://twitter.com/AlleStoringen/status/1395360972223700994;-;post;;11173;AlleStoringen;11173;2;;;Volgens gebruikersmeldingen zijn er sinds 14:49 problemen bij [Liander]. https://t.co/PxtItyGdln Retweet als je ook problemen ondervindt #lianderstoring;twitter;
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-20 14:23;https://twitter.com/SollicitatieDr/status/1395354417306681344;;post;;3231;SollicitatieDr;3231;1.7;;;De mooiste nationale en internationale werkgevers als @GoogleNL, @Heineken_NL, [@Alliander] en @KLM zijn op 28 juni aanwezig tijdens de Virtuele Banenbeurs! 🤩 https://t.co/qfWzXzLoil;twitter;
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-19 18:29;https://twitter.com/LianderNL/status/1395054061838295047;-;post;;19627;LianderNL;19627;3.4;;;#Stroomstoring #Apeldoorn (postcode 7313, 7314, 7315, 7316 en 7317) is opgelost. De oorzaak van de storing is schade aan de elektriciteitskabel ontstaan door graafwerkzaamheden. Excuses voor het ongemak. [#Liander];twitter;
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-19 18:04;https://twitter.com/cootdoes/status/1395047823482269700;-;post;10;6903;cootdoes;6903;95.6;;;[Liander] sluit zonder ineens de elektriek van ons hele eiland af. Ga ik naar hun busje en vraag of dat in het vervolg misschien met waarschuwing vooraf kan, vindt de man mij respectloos. Ja, zo ben ik geboren.;twitter;
"""Alliander"" OR ""Liander"" OR ""Qir...";2021-05-19 15:22;https://twitter.com/LianderNL/status/1395007014678540292;-;post;2;19626;LianderNL;19626;3.3;;;#Stroomstoring #Apeldoorn (postcode 7313, 7314, 7315, 7316 en 7317). Onze monteurs zijn onderweg. De verwachte eindtijd is 17.15 uur. Meer informatie over deze storing is te vinden op https://t.co/VRy5AbE9zX. [#Liander];twitter;
