zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-05-04 12:04;https://twitter.com/CentralchartsNL/status/1389521281377345537;;post;;131;CentralchartsNL;131;0.7;;;$[AGN] [#AEGON] @aegon_nl - Dagelijks: Alle elementen zijn vrij bullish, het zou voor traders mogelijk zijn om alleen longposities te handelen (op moment van aankoop) op [AEGON] zolang de... https://t.co/yNQVeHlZzM;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-05-04 12:04;https://twitter.com/Athenia_IA/status/1389521280324579332;;post;;144;Athenia_IA;144;0.7;;;$[AGN] [#AEGON] - Dagelijks: Alle elementen zijn vrij bullish, het zou voor traders mogelijk zijn om alleen longposities te handelen (op moment van aankoop) op [AEGON] zolang de... https://t.co/PLceTVHI5x;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-05-01 20:04;https://twitter.com/zvstartpagina/status/1388554824589840390;+;post;;318;zvstartpagina;318;0.6;;;Levens-, pensioen-, ziektekosten- en arbeidsongeschiktheidsverzekeringen Markt Nieuwe strategische focus op met toonaangevende sleutelfiguren | ACE Verzekeringen, Achmea, [AEGON], AIA Group - Prachtig Veendam https://t.co/D5VsqpCrUd;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-05-01 20:00;https://twitter.com/Careerguide_NL/status/1388553837749833728;;post;;189;Careerguide_NL;189;0.6;;;[AEGON] zoekt een Global Head of HR Business Partners in Den Haag https://t.co/BLAxuaDVkI https://t.co/8x7eJQ1g9P;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-05-01 18:54;https://twitter.com/hrinfinance/status/1388537221230125058;;post;;457;hrinfinance;457;0.5;;;[AEGON] zoekt een Global Head of HR Business Partners in Den Haag https://t.co/7Z8xq2VWyY;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-04-26 16:03;https://twitter.com/TheDailyTurbo/status/1386682439431491591;;post;;13013;TheDailyTurbo;13013;1.7;;;[AEGON] start zijn rebound richting de daily SMA op 3,96, hierboven een nieuwe uptrend met 4,20 en 4,31 als haalbare koersdoelen. https://t.co/WXStAvn04t;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-04-20 13:31;https://twitter.com/IRA_INAF/status/1384469864199245834;+;post;4;609;IRA_INAF;609;0.8;;;Constraining [AGN] duty cycle in the cool-core cluster MS 0735.6+7421 with LOFAR data, by Biava et al., with Brienza, Bonafede, Gitti, Bonnassieux, Riseley #irapapers @AnnalisBonafede @CRiseley  @LOFAR https://t.co/iEFa0cO3MW https://t.co/dC5BP209AG;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-04-13 18:25;https://twitter.com/legalinfinance/status/1382006936644640770;;post;;382;legalinfinance;382;0.6;;;Uitleg pensioenontslagbeding en Haviltex-criterium - Vera Hek, [AEGON] Adfis https://t.co/EBIs50lAQZ;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-04-08 18:24;https://twitter.com/tweedehands/status/1380194860850802688;;post;;345;tweedehands;345;0.7;;;Vooruitdenken met.. avonturiers - [AEGON] Blog: Vooruitdenken met.. avonturiers  [AEGON] Blog https://t.co/YVPiFGTYbw;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-04-07 10:29;https://twitter.com/TheDailyTurbo/status/1379712890203168768;;post;;12976;TheDailyTurbo;12976;1.9;;;De setups op [#AEGON] en #SOFINA komen te vervallen, wij verzilveren de winsten.;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-04-06 10:03;https://twitter.com/TheDailyTurbo/status/1379344058879987721;;post;;12977;TheDailyTurbo;12977;1.7;;;[AEGON] op weg naar de 4,30 zone, koersdoel van de Daily TTL Setup, swing +6, er is ruimte....;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-04-06 08:30;https://twitter.com/j_weenink/status/1379320550284201984;;post;2;12;j_weenink;12;4.3;;;De steun die Rutte krijgt vanuit het old boys [AEGON] VVD netwerk (Jan Driessen, Ton Elias etc)  geeft een aardig inzicht in de netwerkcorruptie in NL  En is een van de redenen waarom financiele sector schandalen nooit opgelost zijn. Sloop  politiek/financiele sector conglomeraat !;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-04-03 03:38;https://twitter.com/compliancejobs/status/1378159955853762560;;post;;444;compliancejobs;444;0.5;;;[AEGON] zoekt een Medior Legal Counsel Product & Regulatory in Den Haag https://t.co/9tuQXZvxNU;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-04-02 10:19;https://twitter.com/rogerpeverelli/status/1377898363060957184;;post;;1660;rogerpeverelli;1660;0.7;;;In a webinar by Appian, Gijsbert Cox, Frans Stuifbergen of [AEGON] and our own @ReggyDeFeniks discussed how to make most of your legacy assets without creating future legacy roadblocks. It’s is in our Top 5 Videos on DIA TV this month! #DIATV #Insurance   https://t.co/l986I5QADx;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-03-30 15:25;https://twitter.com/Athenia_IA/status/1376888326540689409;;post;;146;Athenia_IA;146;0.7;;;$[AGN] [#AEGON] - Dagelijks: [AEGON] maakt een erg sterke bullish trend door. Traders kunnen overwegen alleen longposities te handelen (op moment van aankoop) zolang de koers ruim... https://t.co/eKSBJtAOFu;twitter;
"""AEGON"" OR ""AGN"" (src:twitter) e...";2021-03-30 15:25;https://twitter.com/CentralchartsNL/status/1376888327631212547;;post;;127;CentralchartsNL;127;0.7;;;$[AGN] [#AEGON] @aegon_nl - Dagelijks: [AEGON] maakt een erg sterke bullish trend door. Traders kunnen overwegen alleen longposities te handelen (op moment van aankoop) zolang de koers ruim... https://t.co/6LgC8BomuK;twitter;
