zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 15:09;https://twitter.com/SunshineWeb/status/1389930270665723909;;post;;739;SunshineWeb;739;0.6;;;Neem je jaarlijks te veel contant geld op? Dan ga je flink betalen bij [ABN AMRO] https://t.co/qcb7GSAaJQ;twitter;
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 15:06;https://twitter.com/devilstrike1/status/1389929566408515587;;post;;296;devilstrike1;296;1;;;is dit echt @ABNAMRO ?  zoja dan ga ik direct opzeggen, betalen om je eigen geld tekunnen pinnen terwijl je al dik betaalt per jaar voor je rekening.  Neem je jaarlijks te veel contant geld op? Dan ga je flink betalen bij [ABN AMRO] https://t.co/693foaIp2N;twitter;
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 15:03;https://twitter.com/BunSpaSociaal/status/1389928784032325632;;post;;767;BunSpaSociaal;767;1.1;;;Neem je jaarlijks te veel contant geld op? Dan ga je flink betalen bij [ABN AMRO] https://t.co/UWffR3IMVm;twitter;
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 14:33;https://twitter.com/aleurs/status/1389921184096165890;-;post;;1792;aleurs;1792;5.9;;;Dit riekt naar machtsmisbruik. Ik ga mijn abn rekeningen opzeggen en overstappen.  Niet dat ik bel contant geld opneem maar het is niet juist van ⁦@ABNAMRO⁩  Neem je jaarlijks te veel contant geld op? Dan ga je flink betalen bij [ABN AMRO] https://t.co/CVGgOql159;twitter;
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 14:04;https://twitter.com/JufNini/status/1389913982362955778;;post;;1100;JufNini;1100;19.7;;;#JuffiesViezePlaatjesHoek  In het [ABN] gezongen. Echt een nummer dat niet mag ontbreken in de hoek!   Oele Plop ft Frerik de Swetser & Eamel de Hûnekop - Dikke tit'n https://t.co/GpDL25Hvyz via @YouTube;twitter;
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 13:50;https://twitter.com/somanagpo/status/1389910437936914434;;post;;1132;somanagpo;1132;1.9;;;Witwasaanwijzingen niet concreet: [ABN AMRO] moet coffeeshophouder bankrekening geven · Hup @WBHoekstra schep duidelijkheid! Even een briefje van uw hand naar de systeembankieren en klaar, shops worden niet voor niets door de bibob gescandeerd! #Wfwt https://t.co/UiJP8qnlLN;twitter;
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 13:39;https://twitter.com/4_freelancers/status/1389907512409923584;;post;;535;4_freelancers;535;0.6;52.374031;4.88969;#Applicatiebeheer DevOps Engineer - [ABN AMRO] Amsterdam Assignment context and description of activities          ... https://t.co/b9DP74hk0R;twitter;
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 13:30;https://twitter.com/Cashcow_NL/status/1389905242213474305;;post;;1950;Cashcow_NL;1950;1.3;;;Hoe ziet de arbeidsmarkt eruit in 2032, als we robots, kunstmatige intelligentie en algoritmes optimaal inzetten? Deze vraag staat centraal in een nieuwe podcast van [ABN] Amro. https://t.co/tSEwUKoByi https://t.co/tkDpISNmYd;twitter;
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 13:23;https://twitter.com/everdienvd/status/1389903557017706496;;post;3;1516;everdienvd;1516;6.2;;;Neem je jaarlijks te veel contant geld op? Dan ga je flink betalen bij [ABN AMRO] https://t.co/CVzb1v7zWg;twitter;
"""ABN AMRO Group"" OR ""ABN"" OR ""AB...";2021-05-05 12:47;https://twitter.com/tismewat2day/status/1389894485912559617;;post;;269;tismewat2day;269;1.4;;;WTH! Neem je jaarlijks te veel contant geld op? Dan ga je flink betalen bij [ABN AMRO] - Radar - het consumentenprogramma van AVROTROS https://t.co/qeOKf4MKwB;twitter;
