zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-05-03 09:57;https://twitter.com/1marketforecast/status/1389126848919969793;;post;;109;1marketforecast;109;0.6;52.376556;4.924523;Saab's Technology Makes London City Airport 1st Major UK Operator of Remote [ATC] Tower https://t.co/e2CgGqpNoR #marketintelligence #marketresearch #marketforecast;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-05-03 09:55;https://twitter.com/ASDNewscom/status/1389126344747876354;;post;;3288;ASDNewscom;3288;0.6;;;Saab's Technology Makes London City Airport 1st Major UK Operator of Remote [ATC] Tower https://t.co/BP7u7Qzxug #ASDNews #defense #aerospace https://t.co/9mpiBjZXGA;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-05-01 21:16;https://twitter.com/cmoonu/status/1388572967387414534;;post;;125;cmoonu;125;0.6;;;#bijsluiter van geen #vaccin TRIAMCINOLONACETONIDE [ATC]:D07AB09 - Triamcinolone Hulpstoffen:CETOSTEARYLALCOHOL DECYLOLEAAT EMULGERENDE WAS (MENGSEL) MACROGOLCETOSTEARYLETHER RIJSTZETMEEL SORBINEZUUR (E 200) SORBITOL (D-)(E 420) WATER, GEZUIVERD;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-05-01 11:53;https://twitter.com/ATC65/status/1388431418892726274;;post;8;1376;ATC65;1376;0.7;;;Nu terrassen weer open mogen, legt [ATC]’65 vlug een extra terras aan! DB-lid Jan Henk Staal en de mannen van Zon-2 pakken deze zaterdagochtend flink aan! https://t.co/RWVbn8Yho7;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-29 15:39;https://twitter.com/EstherPeelen/status/1387763585141690386;;post;;1130;EstherPeelen;1130;0.6;;;Christian Lie Berg, FHI @WHO Oslo explains what [#ATC] is: @unicom_idmp #webinar #pharmaceuticals #cooperation https://t.co/qgite0bxsz;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-28 20:24;https://twitter.com/JohnvdTol/status/1387472839100571653;;post;2;2252;JohnvdTol;2252;2.2;;;Een hek om de velden voor eigen rekening of voor rekening van onze gemeenten? Bij BoBizzNizz gaan met programmamaker Greenport DB Andries Middag, bloembollenkweker Simon Pennings en [ATC] voorman Alfons Morssink met elkaar in gesprek https://t.co/w7Z8Th7dtr;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-28 10:51;https://twitter.com/atcnetwork/status/1387328682369462274;;post;;6491;atcnetwork;6491;0.7;;;Latest [ATC] Network Bulletin published https://t.co/7cvUREibxK Latest News, Calls for Tender, Upcoming Webinars, Virtual Events and more. Featuring @systemsinteruk @eurocontrol @skyguide @AirwaysNZ @ENAIRE @AdacelSystems @Searidgetech @ifatca @ATCA_now @AirportShow1 @SESAR_JU;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-25 20:24;https://twitter.com/AirportWebcams/status/1386385641529880581;;post;4;65865;AirportWebcams;65865;1.2;;;INCIDENT: Air France #AF498 Paris to St Maarten (Airbus A330 F-GZCG) declared Mayday on finals to SXM earlier & squawked 7700 General Emergency due to worsening odour in the cabin. Smell cleared after landing (via Captain on [ATC]). SXM: https://t.co/aq3ARn8m0H (File photo, F-GZCF) https://t.co/JDSKfre6bm;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-25 17:27;https://twitter.com/lemonodor/status/1386341094359666689;;post;;4712;lemonodor;4712;0.8;;;"VATSIM's ""Cross the Pond"" event was yesterday, where more than 1900 pilots flew simulated transoceanic flights from Europe to the U.S., with air traffic control enthusiasts providing sim [ATC] the whole way. [[Video from https://t.co/gRgZvG4QIt]] https://t.co/KskBGEFZsq";twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-24 18:21;https://twitter.com/GBspeedbird/status/1385992268520230912;;post;2;366;GBspeedbird;366;1.2;;;Today’s post features the epic @emirates Boeing 777 rotating off 05L @manairport passing the iconic [ATC] Tower #emirates #emiratesairline #boeing #boeinglovers #b777 #manchesterairport #theukspotters #photography #photographer #plane #planes #planespotting #planespotter https://t.co/sOkCB6qBmF;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-23 20:10;https://twitter.com/headlinez/status/1385657291337256963;;post;;177;headlinez;177;0.5;;;Peter Koetsier erelid van [ATC] Veenhorst https://t.co/A4HJYCo4ho;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-21 14:00;https://twitter.com/unicom_idmp/status/1384839568768315394;;post;2;102;unicom_idmp;102;4.4;;;Join the discussion on how [ATC] and Melclass come together in a medicinal product dictionary at the next UNICOM Community of Expertise scheduled on Thursday 29 April March 2021 3.00 PM Register>https://t.co/c5iZNbNqel Info>https://t.co/BmsZNfIHyF https://t.co/Qwg5qs1Cwo;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-20 06:17;https://twitter.com/Oblis1/status/1384360584339144711;;post;;109;Oblis1;109;0.5;;;Nieuwe obligatie [Altice] France 4% 2029 beschikbaar op secundaire markt https://t.co/0T3UUBSVAR;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-17 16:05;https://twitter.com/JordiFun/status/1383421390632546306;;post;2;156;JordiFun;156;2.6;;;"Incident op de baan van Rotterdam Airport. [ATC]: ""The runway is blocked. No estimate yet."" Nog wel vliegtuigjes in de buurt. https://t.co/D90LtfRmHz";twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-16 17:08;https://twitter.com/judobond/status/1383074805667205121;;post;4;5330;judobond;5330;2.3;;;Zaterdag komen voor Judo TeamNL vier kanshebbers op een EK medaille in actie. In de [Altice] Arena betreden Juul Franssen, Sanne Vermeer, Kim Polling en Sanne van Dijke de tatami. Mis het niet!💪 https://t.co/o7NDTdznl6 https://t.co/1cN3irST3i;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-16 07:45;https://twitter.com/TSimonts/status/1382933269012963336;;post;;7571;TSimonts;7571;8.1;;;Bedrijfsresultaten vandaag  [#Altice] #Deceuninck #Tryg #BankofNewYorkMellon #CitizensFinancial #KansasCitySouthern #MorganStanley #PNCFinancial   Dividend #AholdDelhaize  #KoninklijkeKPN  #Caterpillar  #SvenskaCellulosa #ICAGruppen  #Geberit  #JuliusBaer https://t.co/Uq3q7rjH9Q;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-14 21:23;https://twitter.com/chum1ng0/status/1382414160013766661;;post;4;374;chum1ng0;374;3.1;;;"#Malware, #Ransomware, #CyberSecurity, #ciberseguridad, #news;   ""IT: Threat actors attack [ATC] website, demand ransom""   https://t.co/5vUBzD2Wrb";twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-14 17:58;https://twitter.com/DutchVACC/status/1382362747766198274;;post;;1431;DutchVACC;1431;0.8;;;The Turkish vACC and Dutch VACC are very excited to announce City Exchange: Istanbul to Amsterdam on Saturday, April 17th. During this unique opportunity, pilots will be able to fly between two of the largest airports in the world and enjoy full [ATC] staffing from gate to gate. https://t.co/bRg71qZMGv;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-13 10:41;https://twitter.com/airmediation_nl/status/1381890257533157377;;post;;144;airmediation_nl;144;1.2;;;NOTAM: Baan 01/19 zal gesloten zijn van 10u30 tot 14u00 wegens werkzaamheden. A1488/21 From:13 APR 21 08:30 Till:13 APR 21 12:00 Text:RWY 01/19 CLSD DUE TO WIP EXCEPT FOR LDG AND TKOF PPR 15 MIN FOR PPR CTC [ATC];twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-13 10:40;https://twitter.com/airmediation_nl/status/1381890113731502080;;post;;144;airmediation_nl;144;1.2;;;NOTAM: Baan 25L/07R zal gesloten zijn van 10u30 tot 14u00 wegens werkzaamheden.  A1487/21 From:13 APR 21 08:30 Till:13 APR 21 12:00 Text:RWY 07R/25L CLSD DUE TO WIP EXCEPT FOR LDG OR TKOF PPR 15 MIN. FOR PPR CTC [ATC];twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-13 00:38;https://twitter.com/DanBennett/status/1381738575553773569;;post;2;1864;DanBennett;1864;0.7;;;I wish the @MSFSofficial in-built [ATC] was at all somewhat useful...  This wasn't a fun way to approach LKPR... https://t.co/iODtNMqnPg;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-11 11:15;https://twitter.com/NCLairpics/status/1381174165047230466;;post;;1155;NCLairpics;1155;0.6;;;🇳🇱 @KLM @KLM_UK @embraer E175 PH-EXP KLM29W passing the @NCLairport [ATC] tower on the inbound from @Schiphol panned at 1/40 @air_intel #KLM #Aviation #avgeek https://t.co/uxBmMd5m3d;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-09 21:06;https://twitter.com/ralpje/status/1380597965094588425;+;post;;745;ralpje;745;2.8;;;No better way to start your weekend than some flying on @MSFSofficial with @vatsim and get to park next to a brother CJ4 :) Thanks to @vatsimuk and @DutchVACC for the [ATC] this evening! https://t.co/G5ysexObnx;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-09 21:03;https://twitter.com/Argento20011/status/1380597378542092288;;post;2;387;Argento20011;387;3.3;;;Pregunta : ¿ [ATC] , La Televisión Publica , Canal 7 , como se llame o haya llamado, alguien ve su programación ? 🤔🤔🤔🤔🤔;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-09 13:54;https://twitter.com/ATCdiensten/status/1380489404981067777;+;post;;509;ATCdiensten;509;0.7;;;Mooie vervolg mogelijkheden op een [ATC] programma UWV deelnemers. https://t.co/T8gvfzqKXG;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-09 12:12;https://twitter.com/ATCdiensten/status/1380463701300502530;+;post;;509;ATCdiensten;509;0.7;;;"Een onderdeel van een [ATC] traject kan de Taaltraining Oriëntatie op de Nederlandse Arbeidsmarkt zijn. Vandaag zijn deze trotse Statushouders geslaagd. Trainers @AngelaKlein en @BiancaVerweij ; fantastisch resultaat!! De stap naar betaald werk wordt kleiner en kleiner.... https://t.co/efGdIew627";twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-07 18:14;https://twitter.com/AMTnl/status/1379829838928769026;;post;;3024;AMTnl;3024;0.6;;;13 april: AMT-[ATC] Livestream ADAS, hoe werken ze en hoe werk je eraan? https://t.co/x4OkbLVyyR https://t.co/f5zDZILyzj;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-05 19:13;https://twitter.com/ZarAliAfridi/status/1379120058958483456;;post;;3701;ZarAliAfridi;3701;0.8;;;Statement issued by Supreme Court Bar Association of Pakistan regarding falsely nominating Abdul lateef Afridi and his son in killing of [ATC] judge who was yesterday killed by terrorists or ISI in Pakhtunkhwa https://t.co/amwmcpzOtt;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-04 22:24;https://twitter.com/AqsaLeelaJamali/status/1378805755210559494;;post;3;47026;AqsaLeelaJamali;47026;4.1;;;It's a news of an enormous grief that the Murder of [ATC] Judge Aftab Afridi along with his wife & 2 innocent children near Anbar Interchange in Swabi District, KPK. Highly Deprecated act that was! May Allah Almighty rest them peace! May they have highest rank in Jannah! Aameen. https://t.co/6uPYyaXxIp;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-04 20:15;https://twitter.com/farishtanoor_/status/1378773191661924352;;post;2;838;farishtanoor_;838;0.3;;;Strongly condemn the murder of [ATC] judge Aftab Afridi, his wife & 2 children at Anbar Interchange, Swabi. May Allah grant them highest place in Paradise Ameen. https://t.co/RtLbvuMLs4;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-04 19:03;https://twitter.com/ImranKhanPTI/status/1378755197497933824;;post;2;13491010;ImranKhanPTI;13491010;11.2;;;Strongly condemn the murder of [ATC] judge Aftab Afridi, his wife & 2 children at Anbar Interchange, Swabi. The perpetrators of this gruesome act will be apprehended & dealt with full severity of the law.;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-04 18:41;https://twitter.com/IMMahmoodKhan/status/1378749660999860230;;post;2;80992;IMMahmoodKhan;80992;2.2;;;Strongly condemn the brutal killing of [ATC] Swat Judge Aftab Afridi & his family https://t.co/69eJB4Lex0 sympathies with the bereaved family and prayers for the eternal peace of the departed souls.  إِنَّا لِلَّٰهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-03 15:11;https://twitter.com/KarNac_nl/status/1378334247593910272;;post;;11016;KarNac_nl;11016;0.5;;;Hey Craig Lewin, MS, LAT, [ATC](@ESportsMed), thank you for following me;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-03 12:00;https://twitter.com/NTvG_actueel/status/1378286164008927234;;post;;18453;NTvG_actueel;18453;3;;;De overlevingskansen van patiënten met een anaplastisch schildkliercarcinoom ([ATC]) kunnen beter. Met dat doel is in 2020 het Nederlands anaplastisch schildklierkankerconsortium opgericht. https://t.co/rMYxpJ1xFR https://t.co/mtEAKfMYAj;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-04-01 19:30;https://twitter.com/nlalphaaudio/status/1377674767453593605;;post;;1414;nlalphaaudio;1414;0.5;;;Triple Test – Grimm LS1a – [ATC] SCM40A – Dutch & Dutch 8C https://t.co/Bjtv54vcr9;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-03-31 22:25;https://twitter.com/Jacobuske_/status/1377356485466857474;+;post;;281;Jacobuske_;281;1.4;;;altijd geweldig wanneer mensen door elkaar praten op [ATC] @broodjeelias;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-03-30 14:00;https://twitter.com/nlalphaaudio/status/1376866941441347584;;post;;1414;nlalphaaudio;1414;0.5;;;Triple Test – Grimm LS1a – [ATC] SCM40A – Dutch & Dutch 8C https://t.co/icwDzSIoQP;twitter;
"""Altice Europe"" OR ""ATC"" OR ""Alt...";2021-03-30 08:39;https://twitter.com/beurstweets/status/1376786153622228994;;post;;7073;beurstweets;7073;0.9;;;30 mrt 2021 om 08:35 in nieuws [Altice] overweegt beursgang Teads – media https://t.co/oYrFcLQxlz https://t.co/whYcFIUNhz;twitter;
